20140901,376557341,394599335
20140902,326936259,357884982
20140903,324653870,365295855
20140904,290933010,323841754
20140905,274988954,303214685
20140906,196731019,240435076
20140907,194952293,242003983
20140908,338006102,386778567
20140909,309489341,352202137
20140910,308186100,361396720
20140911,270809150,321430802
20140912,264241182,302045352
20140913,189250695,240301651
20140914,204858392,242734834
20140915,339862103,388230501
20140916,307570698,354255684
20140917,306702784,363952204
20140918,270676358,324405062
20140919,262613765,305369005
20140920,187373998,243916809
20140921,199669470,246593200
20140922,336741690,392291780
20140923,305566648,358486257
20140924,304881502,368324024
20140925,268811137,328894725
20140926,261283637,309956987
20140927,186288611,248586821
20140928,199460321,251331651
20140929,336241601,397087331
20140930,304961560,363329448
