20140901,358454851,373968059
20140902,294539328,250823971
20140903,301487185,323583339
20140904,254848323,296001800
20140905,300034222,196524098
20140906,211353048,173901690
20140907,143593939,194044573
20140908,215885501,271961830
20140909,364528946,278823971
20140910,381477336,263583339
20140911,320838979,266301800
20140912,270025357,256524098
20140913,184344638,178901690
20140914,173585960,194044573
20140915,366436339,363968059
20140916,294521765,310823971
20140917,281470524,293583339
20140918,269832516,293301800
20140919,200019226,246524098
20140920,161338821,173901690
20140921,173580442,164044573
20140922,306431103,303968059
20140923,354516798,310823971
20140924,281465812,403583339
20140925,330828046,246301800
20140926,280014985,306524098
20140927,161334798,173901690
20140928,199274757,230964747
20140929,306427482,343968059
20140930,294513363,310823971
