report_date,total_purchase_amt,total_redeem_amt,x,Unnamed: 4,Unnamed: 5,p,r
20130701,32488348,5525022,1,0,0,,
20130702,29037390,4677812,2,0.106221406,0.537640212,0.106221406,0.153340566
20130703,27270770,5680802,3,0.06083949,1.330692945,0.06083949,0.214414346
20130704,18321185,6410729,4,0.328175002,0.076733659,0.328175002,0.128490132
20130705,22240402,3596983,5,0.364192382,0.56891221,0.213917222,0.438912018
20130706,22651302,3287550,6,2.154954408,0.415022939,0.018475385,0.086025705
20130707,29623933,4475507,7,0.756138182,1.463595679,0.307824733,0.361350246
20130708,37893713,5489940,1,5.388839968,1.095979019,0.279158746,0.226663258
20130709,31796386,3853389,2,0.531963804,0.583951635,0.160906032,0.298099979
20130710,30696506,2597169,3,0.145437277,0.252195543,0.034591353,0.326003941
20130711,36318535,3508800,4,0.435837584,0.351009503,0.183148825,0.351009503
20130712,34183904,4159881,5,0.224418577,1.420363942,0.058775251,0.185556601
20130713,23987974,3809445,6,0.556378435,0.589897078,0.298266986,0.084241833
20130714,31577277,2784107,7,0.491310586,0.200619094,0.316379491,0.269156793
20130715,41881005,7967143,1,1.128141064,3.708131907,0.32630198,1.861651151
20130716,50622847,11864981,2,0.051825616,0.0948251,0.208730473,0.489239116
20130717,34624344,10911513,3,0.42682635,0.080359842,0.316033253,0.080359842
20130718,24234505,11765356,4,0.164779067,0.078251568,0.300073237,0.078251568
20130719,26117902,9244769,5,0.389759106,0.214238056,0.077715513,0.214238056
20130720,22566458,5509081,6,0.393141219,0.502297678,0.135977384,0.404086679
20130721,21142394,7866765,7,0.034410308,0.417246758,0.06310534,0.427963212
20130722,36624714,15893566,1,0.913165368,6.139837267,0.732287933,1.020343305
20130723,48822603,24418703,2,0.437274011,0.274744601,0.333050765,0.53638919
20130724,48422518,32958493,3,0.167084155,0.485761196,0.008194668,0.349723325
20130725,57433418,38212836,4,0.186089042,0.053897405,0.186089042,0.159423036
20130726,44721817,39192369,5,0.221327608,0.025633612,0.221327608,0.025633612
20130727,32723883,25159886,6,0.61552432,0.615769769,0.268279216,0.358041204
20130728,40830447,15642466,7,1.108551299,0.489789123,0.247726225,0.378277549
20130729,47274588,15763470,1,0.475976063,1.420780062,0.157826854,0.007735609
20130730,47481243,13048582,2,0.112700412,0.298439344,0.004371376,0.172226547
20130731,54569637,9534040,3,0.149288299,0.26934283,0.149288299,0.26934283
20130801,53369962,20094858,4,0.021984295,0.978643681,0.021984295,1.107696003
20130802,38064536,27900775,5,0.286779781,1.128380668,0.286779781,0.388453454
20130803,35135193,18955512,6,0.432653297,0.484398493,0.076957276,0.32060984
20130804,41504216,14338994,7,1.118248794,0.600809292,0.181271895,0.243544886
20130805,43632203,15512629,1,0.046191699,0.911613493,0.051271586,0.081849187
20130806,50866184,16401387,2,0.165794539,0.038226285,0.165794539,0.057292545
20130807,43908081,23724557,3,0.136792314,0.811353272,0.136792314,0.446496994
20130808,44493490,29551691,4,0.013332603,0.005285151,0.013332603,0.245616135
20130809,33425186,30131015,5,0.248762325,0.019603751,0.248762325,0.019603751
20130810,36520012,26614408,6,0.383240321,0.116710539,0.092589642,0.116710539
20130811,55727577,15372680,7,1.6931223,0.422392563,0.525946295,0.422392563
20130812,68476035,22804300,1,0.702472623,0.859576144,0.228763903,0.483430345
20130813,49246040,28790328,2,0.484546548,0.007124265,0.280828103,0.262495582
20130814,40736143,32160446,3,0.373140581,0.477891221,0.172803681,0.117057298
20130815,41613633,39519872,4,0.388984972,2.503222294,0.021540822,0.2288347
20130816,41683536,33739844,5,0.017389551,0.35928076,0.00167981,0.146256243
20130817,39685715,24031992,6,0.576079174,0.86144029,0.0479283,0.287726642
20130818,62223801,20478423,7,2.378683558,2.255263174,0.567914324,0.147868267
20130819,77461352,26316302,1,0.828786506,0.86218303,0.244882999,0.285074637
20130820,56440435,30131225,2,0.508394946,0.063232597,0.271372968,0.144964251
20130821,38184446,29983342,3,0.288605796,0.004907965,0.323455852,0.004907965
20130822,46339725,25000672,4,1.334215796,0.166181275,0.213575941,0.166181275
20130823,45770143,25680323,5,0.575022307,0.027185309,0.012291441,0.027185309
20130824,44367268,14316598,6,0.171302458,0.44250709,0.03065044,0.44250709
20130825,43306288,18117808,7,0.023913575,0.265510703,0.023913575,0.265510703
20130826,54356952,20637986,1,0.720224578,0.139099498,0.255174583,0.139099498
20130827,48742433,30830780,2,0.39234725,1.913929344,0.103289806,0.493885111
20130828,46602319,33696861,3,0.029475351,0.439670979,0.04390659,0.092961677
20130829,47518666,35944968,4,0.01966312,0.066715621,0.01966312,0.066715621
20130830,56488844,20630752,5,0.188771671,0.426046171,0.188771671,0.426046171
20130831,47655303,22012016,6,0.156376735,0.066951704,0.156376735,0.066951704
20130901,56239802,28370336,7,0.180137329,1.695798013,0.180137329,0.288856777
20130902,72524135,30053165,1,1.504360506,0.700277397,0.289551748,0.059316499
20130903,68801798,32277969,2,0.428392707,1.211244605,0.051325493,0.074028942
20130904,46961670,27452600,3,0.585547303,0.301960448,0.317435425,0.149494195
20130905,38716505,21800904,4,0.160333378,0.205871065,0.175572227,0.205871065
20130906,38923186,25187743,5,0.005338318,0.532867765,0.005338318,0.155353145
20130907,34076183,20344424,6,0.124527396,0.39121183,0.124527396,0.192288726
20130908,38796909,14919122,7,0.138534471,0.266672677,0.138534471,0.266672677
20130909,49312473,28201236,1,0.271041283,2.05790019,0.271041283,0.890274508
20130910,76412430,37128363,2,0.920085067,0.186159628,0.549555829,0.316550913
20130911,98944459,51316555,3,0.044995032,0.930440133,0.294873871,0.382138906
20130912,68573684,45147220,4,0.306947709,0.370103966,0.306947709,0.120221145
20130913,71655946,60512675,5,0.044948176,0.340341111,0.044948176,0.340341111
20130914,46563690,36312660,6,0.567719851,0.399916464,0.350176886,0.399916464
20130915,37059683,25020715,7,0.196421404,0.310964413,0.204107686,0.310964413
20130916,66319046,42034515,1,3.362050533,0.805887202,0.789520056,0.679988561
20130917,70257219,58260798,2,0.52859952,0.289395329,0.059382232,0.386022843
20130918,45987291,47203221,3,0.436694282,0.189794465,0.345443904,0.189794465
20130919,33043700,28998268,4,0.422781134,0.758098881,0.281460176,0.385671838
20130920,28365762,15188254,5,0.144794053,0.330143017,0.141568226,0.476235822
20130921,32406340,30163853,6,0.1424456,0.751101805,0.1424456,0.98599872
20130922,46196907,44612514,7,1.083362978,0.803343819,0.425551512,0.479005815
20130923,54658160,58285879,1,0.190419421,0.215249826,0.183156266,0.306491694
20130924,58727729,56680792,2,0.35845881,0.02753818,0.074454921,0.02753818
20130925,58240196,74838162,3,0.363318234,0.320344324,0.008301581,0.320344324
20130926,56375003,48467529,4,0.453620358,0.352368795,0.032025871,0.352368795
20130927,46178974,27639603,5,0.386395184,0.429729479,0.180860815,0.429729479
20130928,39995798,36649437,6,0.051470777,1.102263191,0.133895915,0.325975521
20130929,34433848,40295202,7,0.139063359,0.306519186,0.139063359,0.099476699
20130930,28398050,30181353,1,0.17528677,0.250993878,0.17528677,0.250993878
20131001,19137499,16742831,2,0.32609813,0.575457502,0.32609813,0.445259098
20131002,13600467,10066656,3,0.395808825,0.435438753,0.289328924,0.398748276
20131003,10101194,6223263,4,0.126398937,0.139705364,0.25729065,0.381794411
20131004,18419023,11574579,5,0.97082533,2.762069834,0.823450079,0.859889097
20131005,26916022,13966453,6,0.324346889,0.403457876,0.461316488,0.206648898
20131006,35226037,13464528,7,0.469035247,0.035937901,0.308738602,0.035937901
20131007,42797733,34726194,1,0.105009332,1.145964567,0.214946007,1.579087362
20131008,63409671,50642382,2,1.565717955,1.694504679,0.481612846,0.458333787
20131009,72422299,45628763,3,0.340457739,0.563304895,0.142133335,0.099000458
20131010,72094613,41846589,4,0.004524656,0.536632055,0.004524656,0.082890128
20131011,82674757,33612015,5,0.1467536,0.470442696,0.1467536,0.196780053
20131012,81901136,31322983,6,0.009357403,0.132163937,0.009357403,0.0681016
20131013,71149981,31850475,7,0.131269913,0.016840414,0.131269913,0.016840414
20131014,95723195,40652625,1,0.831557762,0.276358516,0.345372039,0.276358516
20131015,85704304,35099198,2,0.342331223,0.136606849,0.104665238,0.136606849
20131016,100948091,36545314,3,0.177864895,0.460488698,0.177864895,0.041200827
20131017,87203217,25252811,4,0.13615784,0.545964415,0.13615784,0.309000027
20131018,98151450,15938355,5,0.125548499,0.315208739,0.125548499,0.368848284
20131019,66355524,29906370,6,0.458505779,0.674244111,0.323947593,0.876377456
20131020,47766681,42611625,7,0.101259072,0.906873516,0.280140098,0.424834408
20131021,88246215,45781403,1,1.219754184,0.100285054,0.847442886,0.074387635
20131022,117169143,63827999,2,0.373300931,1.100690033,0.327752618,0.394190541
20131023,106093112,73788462,3,0.271396044,0.232749137,0.094530272,0.156051626
20131024,69530830,58183921,4,0.344624465,0.211476708,0.344624465,0.211476708
20131025,69936453,52225802,5,0.005833714,0.102401469,0.005833714,0.102401469
20131026,55752506,49357211,6,0.20281193,0.054926701,0.20281193,0.054926701
20131027,68007543,46520570,7,0.219811411,0.057471663,0.219811411,0.057471663
20131028,90024902,55089464,1,0.911455248,0.184195808,0.323748779,0.184195808
20131029,102050144,43052468,2,0.214958885,0.218499058,0.133576841,0.218499058
20131030,109663260,54189667,3,0.074601717,0.48443757,0.074601717,0.258688979
20131031,90926701,55607833,4,0.170855389,0.129886351,0.170855389,0.026170414
20131101,101321315,66933119,5,0.659632906,0.203663502,0.114318609,0.203663502
20131102,77387161,41511459,6,0.588268628,0.601012079,0.236220325,0.379806894
20131103,68707870,30895754,7,0.105831749,0.156905771,0.112154147,0.255729508
20131104,144595198,65034724,1,3.366710873,3.239095476,1.104492513,1.104972871
20131105,181864362,82689864,2,0.39703903,0.368635323,0.257748283,0.271472514
20131106,181474910,99234712,3,0.003151359,0.5927928,0.002141442,0.200083144
20131107,167963464,83306452,4,0.074453521,0.367490465,0.074453521,0.160510971
20131108,175393321,92856307,5,0.379761202,0.114635239,0.044234959,0.114635239
20131109,155557940,74678574,6,0.454294211,0.505841095,0.113090857,0.195761964
20131110,164813471,122061528,7,0.303212969,0.858825561,0.05949893,0.634491949
20131111,147986439,162473621,1,0.102097431,1.66285904,0.102097431,0.331079691
20131112,148469647,131263524,2,0.003265218,0.422064712,0.003265218,0.192093318
20131113,174554976,79121440,3,0.175694693,0.39723209,0.175694693,0.39723209
20131114,167996058,52554150,4,0.037575085,0.335778646,0.037575085,0.335778646
20131115,124270704,58210254,5,0.260276071,0.107624307,0.260276071,0.107624307
